1.8107,-0.01549,0.26395,-0.063116,0.22012,-0.32389,-0.30537,0.24196,0.88184,0.14135,-0.032326,-1.0309,0.77413,1
0.86872,-0.8245,0.20747,-0.65025,0.49922,-0.27575,0.015118,-0.30094,0.7198,-0.12628,0.44728,-1.0195,-0.82491,1
-4.533,2.7256,-0.17928,-0.63994,-1.7009,-0.58363,-0.64853,-0.88811,2.2138,0.57824,-0.064332,-0.15862,0.82619,3
0.18681,0.42714,-0.27215,0.26024,-0.050671,0.1281,1.6682,1.7978,0.29618,0.32285,-1.4076,-0.093596,0.66164,1
-0.035097,0.10854,0.13066,-0.023177,-0.41257,0.1704,1.4505,1.0792,0.26554,-0.16267,-1.6388,-0.2057,-0.18283,1
-0.74115,0.91758,-0.059958,0.031988,-0.054026,-0.54269,1.5923,0.30579,-1.7729,0.47186,-2.8837,-0.01456,0.5247,1
-0.067573,0.71056,-0.088099,0.0042077,-0.030043,-0.1543,0.87473,-0.2121,-0.043195,-0.29499,-2.2513,-0.49483,-0.20993,1
-0.66643,0.8108,-0.20418,-0.03573,-0.13433,-0.40882,0.60505,-0.55837,-1.1616,-0.18477,-2.8464,0.31305,1.0933,1
0.033351,0.015801,-0.15104,-0.13759,0.15783,-0.15069,0.81792,0.4664,-1.313,0.68444,-0.53995,-0.42196,-0.86111,1
0.77206,-0.054517,0.020046,-0.10722,-0.21352,0.018262,0.34208,-0.16641,0.74743,-0.17662,-0.83096,-0.45857,-0.74168,1
-0.14899,0.16996,-0.052506,0.052633,0.0021138,0.058812,0.48205,-0.10573,-0.072773,-0.84457,-0.70466,-0.27852,-1.5855,1
-0.43505,0.54638,0.018012,-0.022624,-0.17695,0.028646,0.47354,-0.097575,-1.0717,-0.54525,-1.5275,0.14695,-0.22105,1
-0.082412,0.11154,-0.072177,-0.13776,0.28455,-0.092832,0.69503,-0.11999,-0.1978,-0.19246,-0.91309,-0.75306,-2.0572,1
-0.47969,0.68374,-0.13835,0.017602,-0.15244,-0.14433,0.3866,-0.41476,-1.083,-0.3638,-2.6255,0.42511,0.91976,1
0.41185,0.21059,-0.020722,0.017768,-0.022723,0.020428,0.33294,0.23854,-1.1434,0.51237,-1.1554,0.1292,0.05795,1
